mesalazina,400 mg,comprimido
mesalazina,500 mg,comprimido de liberação prolongada
,,
,,
mesalazina,800 mg,comprimido
mesalazina,250 mg,supositório retal
mesalazina,500 mg,supositório retal
mesalazina,1.000 mg,supositório retal
mesalazina,10 mg/mL,enema retal
,,
,,(frasco com 100 mL)
mesalazina,30 mg/mL,enema retal (frasco com 100 mL)
,,
,,
mesilato de bromocriptina,"2,5 mg",comprimido
mesilato de desferroxamina,500 mg,pó para solução injetável
mesilato de rasagilina,1 mg,comprimido
metilprednisolona,500 mg,pó para solução injetável
metotrexato,25 mg/mL,solução injetável (frasco com 2 mL)
,,
,,
metotrexato,"2,5 mg",comprimido
micofenolato de mofetila,500 mg,comprimido
micofenolato de sódio,180 mg,comprimido
micofenolato de sódio,360 mg,comprimido
miglustate,100 mg,cápsula
naproxeno,250 mg,comprimido
naproxeno,500 mg,comprimido
natalizumabe,20 mg/mL,solução injetável
nusinersena,"2,4 mg/ml",solução injetável
octreotida,"0,1 mg/mL",solução injetável
olanzapina,5 mg,comprimido
olanzapina,10 mg,comprimido
olanzapina,30 mg,solução injetável
pamidronato dissódico,60 mg,solução injetável
