abatacepte,250 mg,pó para solução injetável
abatacepte,125 mg/mL,solução injetável
acetato de ciproterona,50 mg,comprimido
acetato de desmopressina,"0,1 mg/mL","solução nasal (frasco com 2,5 mL)"
acetato de desmopressina,"0,1 mg",comprimido
acetato de desmopressina,"0,2 mg",comprimido
acetato de fludrocortisona,"0,1 mg",comprimido
acetato de glatirâmer,20 mg,solução injetável
acetato de glatirâmer,40 mg,solução injetável
acetato de gosserrelina,"3,6 mg",implante subcutâneo
acetato de gosserrelina,"10,8 mg",implante subcutâneo
acetato de lanreotida,60 mg,solução injetável
acetato de lanreotida,90 mg,solução injetável
acetato de lanreotida,120 mg,solução injetável
acetato de leuprorrelina,"3,75 mg",pó para suspensão injetável
acetato de leuprorrelina,"11,25 mg",pó para suspensão injetável
abatacepte,250 mg,pó para solução injetável
abatacepte,125 mg/mL,solução injetável
acetato de ciproterona,50 mg,comprimido
acetato de desmopressina,"0,1 mg/mL","solução nasal (frasco com 2,5 mL)"
acetato de desmopressina,"0,1 mg",comprimido
acetato de desmopressina,"0,2 mg",comprimido
acetato de fludrocortisona,"0,1 mg",comprimido
acetato de glatirâmer,20 mg,solução injetável
acetato de glatirâmer,40 mg,solução injetável
acetato de gosserrelina,"3,6 mg",implante subcutâneo
acetato de gosserrelina,"10,8 mg",implante subcutâneo
