bromidrato de galantamina,8 mg,cápsula de liberação prolongada
,,
,,
bromidrato de galantamina,16 mg,cápsula de liberação prolongada
,,
,,
bromidrato de galantamina,24 mg,cápsula de liberação prolongada
,,
,,
budesonida,200 mcg,aerossol bucal
budesonida,200 mcg,cápsula para inalação
budesonida,200 mcg,pó para inalação
budesonida,400 mcg,cápsula para inalação
cabergolina,"0,5 mg",comprimido
calcipotriol,"50 mcg/g (0,005%)",pomada (bisnaga com 30 g)
calcitonina,50 UI,solução injetável
calcitonina,100 UI,solução injetável
calcitonina,200 UI/dose,solução spray nasal (frasco com 2 mL)
,,
,,
calcitriol,1 mcg/mL,solução injetável (ampola com 1 mL)
,,
,,
calcitriol,"0,25 mcg",cápsula mole
certolizumabe pegol,200 mg,solução injetável
ciclofosfamida,50 mg,comprimido
ciclosporina,10 mg,cápsula mole
ciclosporina,25 mg,cápsula mole
ciclosporina,50 mg,cápsula mole
ciclosporina,100 mg,cápsula mole
ciclosporina,50 mg,solução injetável
ciclosporina,100 mg/mL,solução oral (frasco com 50 mL)
,,
,,
ciprofibrato,100 mg,comprimido
citrato de sildenafila,20 mg,comprimido
citrato de sildenafila,25 mg,comprimido
citrato de sildenafila,50 mg,comprimido
