clobazam,10 mg,comprimido
clobazam,20 mg,comprimido
clopidogrel,75 mg,comprimido
cloridrato de amantadina,100 mg,comprimido
cloridrato de cinacalcete,30 mg,comprimido
cloridrato de cinacalcete,60 mg,comprimido
cloridrato de donepezila,5 mg,comprimido
cloridrato de donepezila,10 mg,comprimido
cloridrato de dorzolamida,20 mg/mL,solução oftálmica (frasco com 5 mL)
,,
,,
cloridrato de metadona,5 mg,comprimido
cloridrato de metadona,10 mg,comprimido
cloridrato de metadona,10 mg/mL,solução injetável (ampola com 1 mL)
,,
,,
cloridrato de pilocarpina,20 mg/mL (2%),solução oftálmica (frasco com 10 mL)
,,
,,
cloridrato de raloxifeno,60 mg,comprimido
cloridrato de selegilina,5 mg,comprimido
cloridrato de selegilina,10 mg,comprimido
cloridrato de sevelâmer,800 mg,comprimido
cloridrato de triexifenidil,5 mg,comprimido
cloridrato de ziprasidona,40 mg,cápsula
cloridrato de ziprasidona,80 mg,cápsula
clozapina,25 mg,comprimido
clozapina,100 mg,comprimido
complemento alimentar para paciente fenilcetonúrico maior de 1 ano (fórmula de aminoácidos isenta de fenilalanina),N/A,N/A
