hemifumarato de quetiapina,25 mg,comprimido
hemifumarato de quetiapina,100 mg,comprimido
hemifumarato de quetiapina,200 mg,comprimido
hemifumarato de quetiapina,300 mg,comprimido
hidróxido de alumínio,230 mg,comprimido
hidróxido de alumínio,300 mg,comprimido
hidróxido de alumínio,"61,5 mg/mL","suspensão oral (frasco com 100 mL, 150 mL ou 240 mL)"
,,
,,
hidroxiureia,500 mg,cápsula
idursulfase,2 mg/mL,solução injetável
iloprosta,10 mcg/mL,solução para nebulização
,,(ampola com 1 mL)
imiglucerase,200 U,pó para solução injetável
imiglucerase,400 U,pó para solução injetável
imunoglobulina humana,"0,5 g",pó para solução injetável
imunoglobulina humana,"0,5 g",solução injetável
imunoglobulina humana,1 g,pó para solução injetável
imunoglobulina humana,1 g,solução injetável
imunoglobulina humana,"2,5 g",pó para solução injetável
imunoglobulina humana,"2,5 g",solução injetável
imunoglobulina humana,3 g,pó para solução injetável
imunoglobulina humana,3 g,solução injetável
imunoglobulina humana,5 g,pó para solução injetável
imunoglobulina humana,5 g,solução injetável
imunoglobulina humana,6 g,pó para solução injetável
imunoglobulina humana anti-hepatite B,100 UI,solução injetável
imunoglobulina humana anti-hepatite B,500 UI,solução injetável
imunoglobulina humana anti-hepatite B,600 UI,solução injetável
infliximabe,100 mg,pó para solução injetável
insulina análoga de ação prolongada,100 UI/ml,(frasco com 10 mL) solução injetável com sistema de aplicação
