acetato de octreotida,10 mg,pó para suspensão injetável
acetato de octreotida,20 mg,pó para suspensão injetável
acetato de octreotida,30 mg,pó para suspensão injetável
acetazolamida,250 mg,comprimido
ácido nicotínico,250 mg,comprimido de liberação prolongada
,,
,,
ácido nicotínico,500 mg,comprimido de liberação prolongada
,,
,,
ácido nicotínico,750 mg,comprimido de liberação prolongada
,,
,,
ácido ursodesoxicólico,50 mg,comprimido
ácido ursodesoxicólico,150 mg,comprimido
ácido ursodesoxicólico,300 mg,comprimido
acitretina,10 mg,cápsula
acitretina,25 mg,cápsula
,,
adalimumabe,40 mg,solução injetável
alfacalcidol,"0,25 mcg",cápsula mole
alfacalcidol,1 mcg,cápsula mole
alfadornase,1 mg/mL,"solução para inalação (ampola com 2,5 mL)"
,,
,,
alfaelosulfase,5 mg,solução injetável
alfaepoetina,1.000 UI,solução injetável
alfaepoetina,2.000 UI,solução injetável
alfaepoetina,3.000 UI,pó para solução injetável
alfaepoetina,3.000 UI,solução injetável
alfaepoetina,4.000 UI,pó para solução injetável
alfaepoetina,4.000 UI,solução injetável
alfaepoetina,10.000 UI,pó para solução injetável
alfaepoetina,10.000 UI,solução injetável
alfainterferona 2b,3.000.000 UI,pó para solução injetável
alfainterferona 2b,5.000.000 UI,pó para solução injetável
alfainterferona 2b,10.000.000 UI,pó para solução injetável
