tacrolimo,1 mg,cápsula
tacrolimo,5 mg,cápsula
teriflunomida,14 mg,comprimido
tafamidis,20 mg,cápsula
tobramicina,300 mg,solução inalatória
tocilizumabe,20 mg/mL,solução injetável (frasco com 4 mL)
,,
,,
tofacitinibe,5 mg,comprimido
tolcapona,100 mg,comprimido
topiramato,25 mg,comprimido
topiramato,50 mg,comprimido
topiramato,100 mg,comprimido
toxina botulínica A,100 U,pó para solução injetável
toxina botulínica A,500 U,pó para solução injetável
travoprosta,"0,04 mg/mL","solução oftálmica (frasco com 2,5 mL)"
,,
,,
trientina,250 mg,cápsula
triptorrelina,"3,75 mg",pó para suspensão injetável
triptorrelina,"11,25 mg",pó para suspensão injetável
ustequinumabe,45 mg,solução injetável
vigabatrina,500 mg,comprimido
xinafoato de salmeterol,50 mcg,aerossol bucal
xinafoato de salmeterol,50 mcg,pó para inalação
