pancreatina,10.000 UI,cápsula
pancreatina,25.000 UI,cápsula
paricalcitol,5 mcg/mL,solução injetável (ampola com 1 mL)
penicilamina,250 mg,cápsula
pravastatina sódica,10 mg,comprimido
pravastatina sódica,20 mg,comprimido
pravastatina sódica,40 mg,comprimido
primidona,100 mg,comprimido
primidona,250 mg,comprimido
propionato de clobetasol,"0,5 mg/g",creme (bisnaga com 30 g)
propionato de clobetasol,"0,5 mg/g",solução capilar (frasco com 50 g)
ribavirina,250 mg,cápsula
riluzol,50 mg,comprimido
risedronato sódico,5 mg,comprimido
risedronato sódico,35 mg,comprimido
risperidona,1 mg/mL,solução oral (frasco com 30 mL)
,,
,,
risperidona,1 mg,comprimido
risperidona,2 mg,comprimido
risperidona,3 mg,comprimido
rituximabe,10 mg/mL,solução injetável (frasco com 50 mL)
rivastigmina,"1,5 mg",cápsula
rivastigmina,3 mg,cápsula
rivastigmina,"4,5 mg",cápsula
rivastigmina,6 mg,cápsula
rivastigmina,2 mg/mL,solução oral (frasco com 120 mL)
,,
,,
rivastigmina,9 mg,adesivo transdérmico
rivastigmina,18 mg,adesivo transdérmico
