alfapeginterferona 2a,180 mcg,solução injetável
alfapeginterferona 2b,"118,4 mcg (80 mcg/0,5 mL após reconstituição)",pó para solução injetável
,,
,,
alfapeginterferona 2b,"148 mcg (100 mcg/0,5 mL após reconstituição)",pó para solução injetável
,,
,,
alfapeginterferona 2b,"177,6 mcg (120 mcg/0,5 mL após reconstituição)",pó para solução injetável
,,
,,
alfataliglicerase,200 U,pó para solução injetável
alfavelaglicerase,200 U,pó para solução injetável
alfavelaglicerase,400 U,pó para solução injetável
ambrisentana,5 mg,comprimido
ambrisentana,10 mg,comprimido
atorvastatina cálcica,10 mg,comprimido
atorvastatina cálcica,20 mg,comprimido
atorvastatina cálcica,40 mg,comprimido
atorvastatina cálcica,80 mg,comprimido
azatioprina,50 mg,comprimido
betainterferona 1a,22 mcg (6.000.000 UI),comprimido
betainterferona 1a,30 mcg (6.000.000 UI),solução injetável
betainterferona 1a,44 mcg (12.000.000 UI),solução injetável
betainterferona 1b,300 mcg (9.600.000 UI),pó para solução injetável
bezafibrato,200 mg,comprimido
bezafibrato,400 mg,comprimido de liberação prolongada
,,
,,
bimatoprosta,"0,3 mg/mL (0,03%)",solução oftálmica (frasco com 3 mL)
,,
,,
biotina,"2,5 mg",cápsula
bosentana,"62,5 mg",comprimido
bosentana,125 mg,comprimido
brinzolamida,10 mg/mL,suspensão oftálmica (frasco com 5 mL)
,,
,,
brometo de piridostigmina,60 mg,comprimido
bromidrato de fenoterol,100 mcg/dose,solução aerossol (frasco com 200 doses)
